 2000-02-23 Tsinghua Univ. EEA Dept.
GENERCV GEN-33 bus-101         82.0000        30.3400  1.00000 1
GENER   GEN-34 bus-103 -322.00000   45.80000  1 
GENER   GEN-35 bus-104    0.00000   -0.10000  1 
GENER   GEN-36 bus-108  551.12000  155.82000  1 
THSLACK  GEN-36 1.00 -0.48328 1
GENER   GEN-37 bus-113  -32.70000   95.20000  1 
GENERCV GEN-38 bus-114        131.0000        22.2900  1.00000 1
GENERCV GEN-39 bus-118        173.0000        59.7500  1.00000 1
GENERCV GEN-40 bus-121        620.0000       150.8900  1.00000 1
GENER   GEN-41 bus-123 -165.00000   54.67000  1 
GENER   GEN-42 bus-124 2571.00000    0.00000  1 
GENERCV GEN-43 bus-125       2388.0000       -22.9400  1.02000 1
GENER   GEN-44 bus-126 2467.00000   63.80000  1 
GENER   GEN-45 bus-127   52.60000  -65.00000  1 
GENERCV GEN-46 bus-130        455.0000       123.3700  1.03000 1
GENERCV GEN-47 bus-131        575.0000        94.5100  1.01800 1
GENER   GEN-48 bus-132 -159.00000  -36.10000  1 
GENER   GEN-49 bus-152   -6.00000    2.80000  1 
GENERDATA GEN-2 0. 0. 0. 0. 1. 99999. -99999.  400.00 -200.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-27 0. 0. 0. 0. 1. 99999. -99999.  267.00  -72.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-28 0. 0. 0. 0. 1. 99999. -99999.  605.00 -170.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-32 0. 0. 0. 0. 1. 99999. -99999.   75.60  -60.60 1.5 0 0 0. 99999 1 
GENERDATA GEN-33 0. 0. 0. 0. 1. 99999. -99999.   38.60  -24.40 1.5 0 0 0. 99999 1 
GENERDATA GEN-36 0. 0. 0. 0. 1. 99999. -99999. 9999.00 -9999.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-38 0. 0. 0. 0. 1. 99999. -99999.   33.00  -25.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-39 0. 0. 0. 0. 1. 99999. -99999.  100.00  -44.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-40 0. 0. 0. 0. 1. 99999. -99999.  250.00 -120.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-43 0. 0. 0. 0. 1. 99999. -99999. 9900.00 -1099.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-46 0. 0. 0. 0. 1. 99999. -99999.  288.00 -144.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-47 0. 0. 0. 0. 1. 99999. -99999.  320.00 -265.00 1.5 0 0 0. 99999 1 
LINE   LN1     bus-2    bus-1        0.00350    0.03210   -0.27190    34.50 1
LINE   LN2     bus-3    bus-1        0.00340    0.03260   -0.36120    37.09 1
LINE   LN3     bus-4    bus-1        0.00640    0.06210   -0.49350    34.50 1
LINE   LN4     bus-5    bus-1        0.00110    0.01190   -0.10060    40.02 1
THTRFO TR5     bus-6    bus-1        0.00000    0.01330  105.19000
LINE   LN6     bus-7    bus-2        0.00140    0.01250   -0.10610    37.09 1
LINE   LN7     bus-13   bus-2        0.00460    0.04170   -0.35290    34.50 1
THLINE LN8     bus-14   bus-3        0.23610    1.01220    0.00000
THLINE LN9     bus-50   bus-3        0.03890    0.16990    0.00000
THLINE LN10    bus-103  bus-3        0.10740    1.80230    0.00000
THLINE LN11    bus-123  bus-3        0.28830    1.67190    0.00000
THLINE LN12    bus-124  bus-3        0.01400    0.64830    0.00000
THLINE LN13    bus-125  bus-3        0.00840    0.11390    0.00000
LINE   LN14    bus-112  bus-4        0.00590    0.05680   -0.46250    34.50 1
THTRFO TR15    bus-115  bus-4        0.00000    0.01850  100.00000
LINE   LN16    bus-119  bus-4        0.00140    0.01190   -0.10250    34.50 1
LINE   LN17    bus-120  bus-5        0.00220    0.02240   -0.18960    40.02 1
LINE   LN18    bus-129  bus-5        0.00220    0.02680   -0.23060    24.74 1
THTRFO TR19    bus-131  bus-5        0.00000    0.01270  102.49000
THTRFO TR20    bus-8    bus-7        0.00040    0.01890   97.51000
LINE   LN21    bus-9    bus-7        0.00170    0.01690   -0.14360    24.74 1
THLINE LN22    bus-10   bus-8        0.45910    1.07030    0.00000
THLINE LN23    bus-12   bus-8        0.01060    0.05740    0.00000
THLINE LN24    bus-13   bus-8        0.12740    0.47840    0.00000
THLINE LN25    bus-14   bus-8        0.04730    0.39560    0.00000
THLINE LN26    bus-15   bus-8        0.50350    1.74330    0.00000
THLINE LN27    bus-132  bus-8        0.02520    0.28800    0.00000
LINE   LN28    bus-75   bus-9        0.00130    0.01500   -0.13410    24.74 1
LINE   LN29    bus-11   bus-10       0.00510    0.03700   -0.03580     7.36 1
THLINE LN30    bus-13   bus-10       0.12990    0.62200    0.00000
THLINE LN31    bus-15   bus-10       0.12750    0.70330    0.00000
THLINE LN32    bus-60   bus-10       0.25250    1.22420    0.00000
THLINE LN33    bus-15   bus-11       0.02850    0.17930   -0.17420
LINE   LN34    bus-46   bus-11       0.01420    0.12250   -0.09380     4.60 1
THLINE LN35    bus-58   bus-11       0.01700    0.10700   -0.10370
THLINE LN36    bus-59   bus-11       0.00710    0.04710   -0.04260
THTRFO TR37    bus-2    bus-12       0.00080    0.03770  102.52000
THLINE LN38    bus-13   bus-12       0.10380    0.31370    0.00000
THLINE LN39    bus-14   bus-12       0.15980    0.64150    0.00000
THLINE LN40    bus-132  bus-12       0.44860    1.57730    0.00000
THLINE LN41    bus-15   bus-13       0.04400    0.32270    0.00000
THLINE LN42    bus-62   bus-13       0.00980    0.12210    0.00000
THLINE LN43    bus-72   bus-14       0.01070    0.08280    0.00000
THLINE LN44    bus-113  bus-14       0.00630    0.03820    0.00000
THLINE LN45    bus-132  bus-14       0.00570    0.03740    0.00000
THLINE LN46    bus-58   bus-15       0.01150    0.07320   -0.07100
THLINE LN47    bus-60   bus-15       0.39070    1.67530    0.00000
THLINE LN48    bus-62   bus-15       0.00840    0.05880    0.00000
THLINE LN49    bus-63   bus-15       0.17040    1.45550    0.00000
THLINE LN50    bus-17   bus-16       0.60170    1.43730    0.00000
LINE   LN51    bus-18   bus-16       0.02970    0.10700   -0.02730     2.69 1
THLINE LN52    bus-27   bus-16       0.15740    0.88710    0.00000
THLINE LN53    bus-126  bus-16       0.10530    0.51320    0.00000
THLINE LN54    bus-127  bus-16       0.09580    0.52760    0.00000
LINE   LN55    bus-18   bus-17       0.02130    0.10130   -0.03210     3.61 1
THLINE LN56    bus-19   bus-17       0.23140    0.76780    0.00000
THLINE LN57    bus-21   bus-17       0.04710    0.26650    0.00000
THLINE LN58    bus-127  bus-17       0.02870    0.26370    0.00000
LINE   LN59    bus-30   bus-18       0.02070    0.10880   -0.02600     3.62 1
LINE   LN60    bus-32   bus-18       0.02340    0.12200   -0.02910     3.61 1
THTRFO TR61    bus-37   bus-18       0.00000    0.04560  111.93000
THLINE LN62    bus-21   bus-19       0.38670    1.90050    0.00000
LINE   LN63    bus-38   bus-19       0.02390    0.12500   -0.02980     3.54 1
THLINE LN64    bus-43   bus-19       0.06030    0.25720    0.00000
THLINE LN65    bus-127  bus-19       0.10740    0.68090    0.00000
THTRFO TR66    bus-53   bus-20       0.00000    0.11400  100.00000
LINE   LN67    bus-157  bus-20       0.01130    0.02790   -0.00020     0.44 1
LINE   LN68    bus-22   bus-21       0.03120    0.16290   -0.03890     3.87 1
THLINE LN69    bus-127  bus-21       0.01050    0.64140    0.00000
LINE   LN70    bus-38   bus-22       0.01400    0.05400   -0.01250     3.62 1
THTRFO TR71    bus-39   bus-22       0.00000    0.04930  110.81000
LINE   LN72    bus-40   bus-22       0.01880    0.07170   -0.01640     3.62 1
LINE   LN73    bus-41   bus-22       0.01720    0.08500   -0.02020     3.51 1
LINE   LN74    bus-24   bus-23       0.01740    0.05110   -0.01150     3.61 1
THLINE LN75    bus-60   bus-23       0.06600    0.30930    0.00000
THTRFO TR76    bus-25   bus-24       0.00000    0.03400  102.17000
LINE   LN77    bus-28   bus-24       0.02490    0.07250   -0.01010     3.61 1
LINE   LN78    bus-45   bus-24       0.01370    0.07250   -0.01700     3.59 1
LINE   LN79    bus-26   bus-25       0.00590    0.05830   -0.46510    41.05 1
LINE   LN80    bus-27   bus-25       0.00440    0.04100   -0.41920    24.84 1
LINE   LN81    bus-74   bus-26       0.00630    0.06070   -0.46500    24.84 1
LINE   LN82    bus-75   bus-26       0.00300    0.03220   -0.25190    37.09 1
THTRFO TR83    bus-76   bus-26       0.00000    0.00820  104.00000
THLINE LN84    bus-31   bus-27       0.01010    0.12730    0.00000
THLINE LN85    bus-62   bus-27       0.01730    0.58100    0.00000
THLINE LN86    bus-65   bus-27       0.01050    0.27640    0.00000
THLINE LN87    bus-125  bus-27       0.03500    1.68450    0.00000
THLINE LN88    bus-126  bus-27       0.00220    0.02250    0.00000
THLINE LN89    bus-127  bus-27       0.15060    1.43550    0.00000
LINE   LN90    bus-29   bus-28       0.02400    0.09650   -0.02220     2.69 1
LINE   LN91    bus-30   bus-29       0.03800    0.15000   -0.03480     1.77 1
LINE   LN92    bus-31   bus-29       0.02060    0.08330   -0.01920     2.69 1
LINE   LN93    bus-32   bus-30       0.02490    0.10050   -0.02290     3.25 1
LINE   LN94    bus-33   bus-32       0.01140    0.04480   -0.01040     3.25 1
LINE   LN95    bus-34   bus-33       0.02800    0.11400   -0.02600     1.80 1
LINE   LN96    bus-35   bus-33       0.02160    0.10700   -0.02550     3.87 1
LINE   LN97    bus-36   bus-33       0.01020    0.05360   -0.01270     3.49 1
LINE   LN98    bus-40   bus-34       0.03970    0.15170   -0.03450     3.25 1
LINE   LN99    bus-77   bus-34       0.02350    0.08960   -0.02040     2.69 1
LINE   LN100   bus-40   bus-35       0.02710    0.13410   -0.03190     1.79 1
LINE   LN101   bus-67   bus-36       0.01760    0.09240   -0.02200     3.49 1
LINE   LN102   bus-39   bus-37       0.00390    0.03790   -0.33500    16.56 1
LINE   LN103   bus-126  bus-37       0.00400    0.03810   -0.33500    24.84 1
LINE   LN104   bus-127  bus-37       0.00400    0.04030   -0.34160    33.12 1
LINE   LN105   bus-42   bus-39       0.00200    0.01860   -0.16000    16.56 1
LINE   LN106   bus-81   bus-40       0.03000    0.34500   -0.00190     0.81 1
LINE   LN107   bus-82   bus-40       0.00400    0.01900   -0.00540     3.51 1
LINE   LN108   bus-81   bus-41       0.03700    0.37200   -0.00290     0.81 1
THLINE LN109   bus-83   bus-41       0.00520    0.02560   -0.00620
LINE   LN110   bus-84   bus-41       0.00570    0.05800   -0.01460     4.06 1
LINE   LN111   bus-109  bus-42       0.00190    0.01960   -0.16650    37.95 1
LINE   LN112   bus-44   bus-43       0.01880    0.07510   -0.01740     2.69 1
THLINE LN113   bus-103  bus-43       0.03240    0.17020    0.00000
THLINE LN114   bus-124  bus-43       0.02930    0.17660    0.00000
THLINE LN115   bus-125  bus-43       0.14490    0.65090    0.00000
LINE   LN116   bus-102  bus-44       0.01300    0.05000   -0.01180     1.80 1
LINE   LN117   bus-103  bus-44       0.01270    0.05100   -0.01220     1.80 1
LINE   LN118   bus-54   bus-45       0.01080    0.05700   -0.01360     3.54 1
LINE   LN119   bus-47   bus-46       0.03100    0.13780   -0.03110     1.77 1
LINE   LN120   bus-48   bus-47       0.02510    0.11140   -0.02510     1.77 1
THLINE LN121   bus-49   bus-47       0.00300    0.01200   -0.00270
THLINE LN122   bus-50   bus-48       0.03360    0.16600   -0.03900
THLINE LN123   bus-51   bus-48       0.04200    0.13000   -0.02850
LINE   LN124   bus-52   bus-48       0.05400    0.16800   -0.03700     2.61 1
THLINE LN125   bus-87   bus-49       0.01400    0.06800   -0.01330
THLINE LN126   bus-51   bus-50       0.03000    0.09000   -0.02050
THLINE LN127   bus-123  bus-50       0.40710    1.85430    0.00000
THLINE LN128   bus-125  bus-50       0.13370    0.60310    0.00000
LINE   LN129   bus-141  bus-51       0.03230    0.10000   -0.02210     2.64 1
LINE   LN130   bus-79   bus-52       0.06230    0.21260   -0.04700     2.69 1
LINE   LN131   bus-106  bus-52       0.02310    0.07170   -0.01570     2.69 1
LINE   LN132   bus-116  bus-52       0.00600    0.04870   -0.01280     5.15 1
LINE   LN133   bus-117  bus-52       0.01170    0.04930   -0.01150     3.37 1
THTRFO TR134   bus-118  bus-52       0.00000    0.05200  104.29000
THTRFO TR135   bus-11   bus-53       0.00050    0.02000  100.00000
LINE   LN136   bus-54   bus-53       0.02750    0.19610   -0.04780     1.77 1
LINE   LN137   bus-55   bus-53       0.00050    0.00260   -0.00110     5.38 1
LINE   LN138   bus-56   bus-54       0.01740    0.09100   -0.02150     3.54 1
LINE   LN139   bus-57   bus-54       0.02500    0.12370   -0.02940     3.87 1
LINE   LN140   bus-57   bus-55       0.04620    0.17630   -0.04010     3.75 1
LINE   LN141   bus-149  bus-55       0.01530    0.06710   -0.01560     3.57 1
LINE   LN142   bus-162  bus-55       0.00400    0.01890   -0.00490     5.38 1
LINE   LN143   bus-67   bus-56       0.01700    0.08940   -0.02120     3.49 1
LINE   LN144   bus-80   bus-57       0.02720    0.10370   -0.02360     1.80 1
LINE   LN145   bus-61   bus-58       0.01330    0.10180   -0.09210     2.76 1
THLINE LN146   bus-61   bus-59       0.01060    0.07060   -0.06050
THTRFO TR147   bus-61   bus-60       0.00270    0.06530  102.52000
THSHUNT SH_1LN147 bus-61 0.    0.00110
THSHUNT SH_2LN147 bus-60 0.    0.00110
THTRFO TR148   bus-61   bus-60       0.00200    0.03930  102.52000
THLINE LN149   bus-62   bus-60       0.36740    0.96400    0.00000
THLINE LN150   bus-65   bus-60       0.10410    0.41440    0.00000
THLINE LN151   bus-126  bus-60       0.53670    1.82950    0.00000
LINE   LN152   bus-62   bus-61       0.02960    0.22750   -0.19980     5.52 1
LINE   LN153   bus-63   bus-61       0.00430    0.04220   -0.03820     3.45 1
THLINE LN154   bus-63   bus-62       0.01580    0.17020    0.00000
THLINE LN155   bus-65   bus-62       0.00400    0.07400    0.00000
THLINE LN156   bus-126  bus-62       0.00440    0.29690    0.00000
THLINE LN157   bus-65   bus-63       0.24090    1.96000    0.00000
LINE   LN158   bus-65   bus-64       0.00500    0.05710   -0.45490    41.40 1
LINE   LN159   bus-66   bus-64       0.00330    0.03810   -0.30330    41.40 1
THLINE LN160   bus-126  bus-65       0.00310    0.15360    0.00000
THTRFO TR161   bus-11   bus-66       0.00000    0.01180  100.00000
LINE   LN162   bus-68   bus-67       0.01930    0.10130   -0.02410     3.49 1
LINE   LN163   bus-69   bus-68       0.00680    0.03530   -0.00840     3.51 1
LINE   LN164   bus-77   bus-69       0.00980    0.03740   -0.00850     2.69 1
LINE   LN165   bus-78   bus-69       0.01140    0.04340   -0.00980     1.80 1
LINE   LN166   bus-79   bus-69       0.00520    0.04330   -0.01100     5.22 1
THTRFO TR167   bus-73   bus-70       0.00000    0.01970  103.98000
LINE   LN168   bus-149  bus-70       0.00020    0.00180   -0.00050     5.38 1
LINE   LN169   bus-149  bus-70       0.00020    0.00180   -0.00050     5.38 1
LINE   LN170   bus-85   bus-71       0.03040    0.15060   -0.03580     3.51 1
LINE   LN171   bus-150  bus-71       0.01960    0.09700   -0.02310     3.61 1
THLINE LN172   bus-113  bus-72       0.00220    0.01300    0.00000
THLINE LN173   bus-132  bus-72       0.00280    0.01680    0.00000
THLINE LN174   bus-152  bus-72       0.03850    0.18000    0.00000
LINE   LN175   bus-119  bus-74       0.00310    0.03100   -0.24110    34.50 1
LINE   LN176   bus-128  bus-75       0.00080    0.00870   -0.08300    24.74 1
THTRFO TR177   bus-130  bus-75       0.00040    0.02420  102.49000
LINE   LN178   bus-79   bus-78       0.00510    0.03360   -0.00910     4.56 1
LINE   LN179   bus-80   bus-78       0.02440    0.09300   -0.02110     1.80 1
THTRFO TR180   bus-74   bus-79       0.00000    0.01800  102.48000
THLINE LN181   bus-83   bus-82       0.00530    0.02490   -0.00650
LINE   LN182   bus-93   bus-84       0.01250    0.08260   -0.02070     4.06 1
LINE   LN183   bus-86   bus-85       0.02110    0.10460   -0.02490     3.87 1
LINE   LN184   bus-87   bus-86       0.02800    0.11200   -0.02690     3.25 1
LINE   LN185   bus-88   bus-86       0.04400    0.22800   -0.05450     1.80 1
LINE   LN186   bus-96   bus-88       0.07400    0.25000   -0.00710     0.48 1
LINE   LN187   bus-106  bus-88       0.00790    0.04680   -0.01160     1.73 1
THTRFO TR188   bus-86   bus-89       0.00000    0.05700  102.52000
LINE   LN189   bus-90   bus-89       0.06900    0.13400   -0.00700     0.69 1
LINE   LN190   bus-96   bus-90       0.18370    0.35900   -0.01850     0.92 1
LINE   LN191   bus-92   bus-91       0.01560    0.08190   -0.01880     2.70 1
LINE   LN192   bus-93   bus-91       0.01430    0.08950   -0.02250     5.23 1
LINE   LN193   bus-94   bus-91       0.01450    0.09570   -0.02400     4.06 1
LINE   LN194   bus-102  bus-92       0.01500    0.06100   -0.01460     2.70 1
THTRFO TR195   bus-42   bus-93       0.00000    0.02600  102.48000
THTRFO TR196   bus-108  bus-93       0.00000    0.01540  105.03000
LINE   LN197   bus-103  bus-94       0.02270    0.13330   -0.03300     3.59 1
LINE   LN198   bus-107  bus-94       0.06130    0.18910   -0.04180     2.69 1
THTRFO TR199   bus-109  bus-94       0.00000    0.03500  102.48000
THTRFO TR200   bus-91   bus-95       0.00540    0.04580  102.00000
THSHUNT SH_1LN200 bus-91 0.    0.00180
THSHUNT SH_2LN200 bus-95 0.    0.00180
LINE   LN201   bus-96   bus-95       0.08700    0.21200   -0.04300     1.36 1
LINE   LN202   bus-97   bus-95       0.12890    0.28090   -0.01670     0.58 1
LINE   LN203   bus-98   bus-95       0.00710    0.04300   -0.01120     4.60 1
THTRFO TR204   bus-99   bus-95       0.00000    0.06850  102.96000
LINE   LN205   bus-100  bus-96       0.06900    0.16100   -0.00930     0.69 1
THTRFO TR206   bus-101  bus-96       0.00000    0.10310  102.96000
THTRFO TR207   bus-44   bus-97       0.00510    0.10070  102.52000
THSHUNT SH_1LN207 bus-44 0.    0.00125
THSHUNT SH_2LN207 bus-97 0.    0.00125
THTRFO TR208   bus-93   bus-98       0.00060    0.02140  102.52000
THSHUNT SH_1LN208 bus-93 0.    0.01705
THSHUNT SH_2LN208 bus-98 0.    0.01705
LINE   LN209   bus-105  bus-98       0.14850    0.29300   -0.01550     0.69 1
LINE   LN210   bus-104  bus-100      0.06200    0.14500   -0.00830     0.69 1
THLINE LN211   bus-123  bus-103      0.18200    0.75100    0.00000
THLINE LN212   bus-124  bus-103      0.00020    0.01670    0.00000
THLINE LN213   bus-125  bus-103      0.02790    0.19720    0.00000
THTRFO TR214   bus-34   bus-104      0.00800    0.06370  100.00000
THSHUNT SH_1LN214 bus-34 0.    0.00165
THSHUNT SH_2LN214 bus-104 0.    0.00165
THTRFO TR215   bus-38   bus-105      0.00000    0.11600  102.52000
LINE   LN216   bus-107  bus-106      0.01960    0.06110   -0.01340     2.69 1
LINE   LN217   bus-122  bus-107      0.01300    0.06210   -0.01480     3.66 1
LINE   LN218   bus-119  bus-109      0.00600    0.05770   -0.46450    34.50 1
LINE   LN219   bus-124  bus-109      0.00200    0.02220   -0.18910    36.16 1
LINE   LN220   bus-125  bus-109      0.00700    0.06200   -0.50000    34.50 1
LINE   LN221   bus-111  bus-110      0.02300    0.09900   -0.02300     1.80 1
THTRFO TR222   bus-112  bus-110      0.00000    0.01850  100.00000
THTRFO TR223   bus-114  bus-110      0.00000    0.07680  103.98000
LINE   LN224   bus-134  bus-110      0.00320    0.02560   -0.00670     5.20 1
