 2000-02-23 Tsinghua Univ. EEA Dept.
THSHUNT sh_94  bus-142         43.2300       -22.1000
THSHUNT sh_95  bus-143          5.8600         9.9900
THSHUNT sh_96  bus-144         -4.3600         9.9900
THSHUNT sh_97  bus-145         -9.9900        -4.5700
GENERCV GEN-1 bus-60         51.0000        32.9200  1.13700 1
GENERCV GEN-2 bus-67       1486.0000       285.2000  1.09000 1
GENERCV GEN-3 bus-79        250.2000       -15.9500  1.05200 1
GENERCV GEN-4 bus-80         47.0000       -15.0600  1.06900 1
GENERCV GEN-5 bus-82         70.0000        17.1500  0.97500 1
GENERCV GEN-6 bus-89        673.0000       136.3900  1.06600 1
GENERCV GEN-7 bus-90         22.0000        -3.8700  0.95000 1
GENERCV GEN-8 bus-91         64.0000        -1.5400  1.00000 1
GENERCV GEN-9 bus-93        700.0000       373.8100  1.00000 1
GENERCV GEN-10 bus-94        300.0000        19.0500  1.02000 1
GENERCV GEN-11 bus-95        131.0000        10.1200  0.92000 1
GENERCV GEN-12 bus-96         60.0000        21.1100  1.00000 1
GENERCV GEN-13 bus-97        140.0000        45.6300  0.96700 1
GENERCV GEN-14 bus-98        426.0000       -32.7300  0.97000 1
GENERCV GEN-15 bus-99        200.0000        -8.3600  1.00000 1
GENERCV GEN-16 bus-100        170.0000        58.7200  1.01400 1
GENERCV GEN-17 bus-101        310.9000       148.6600  1.03900 1
GENERCV GEN-18 bus-102       2040.0000       488.9000  1.01900 1
GENERCV GEN-19 bus-103        135.0000         4.9600  1.00000 1
GENERCV GEN-20 bus-104       2000.0000       500.0000  1.04500 1
GENERCV GEN-21 bus-105       1620.0000       388.3400  1.00700 1
GENERCV GEN-22 bus-106       1080.0000       209.3600  1.00500 1
GENERCV GEN-23 bus-108        800.0000        77.2800  1.01400 1
GENERCV GEN-24 bus-109         52.0000       -15.5500  0.91500 1
GENERCV GEN-25 bus-110        700.0000       519.8400  1.00000 1
GENERCV GEN-26 bus-111       2000.0000       563.7200  1.00000 1
GENERCV GEN-27 bus-112        300.0000       140.1100  1.03700 1
GENERCV GEN-28 bus-115       2493.0000       142.7200  1.04900 1
GENERCV GEN-29 bus-116       2713.0000       631.8400  1.04300 1
GENERCV GEN-30 bus-117       2627.0000       258.5400  1.03000 1
GENERCV GEN-31 bus-118       4220.0000       660.3800  1.01000 1
GENERCV GEN-32 bus-119       8954.0000      4748.4800  1.01300 1
GENERCV GEN-33 bus-121       2997.0000      -160.2200  1.04600 1
GENERCV GEN-34 bus-122       1009.0000       174.0400  1.00000 1
GENERCV GEN-35 bus-124       3005.0000       569.1900  1.00000 1
GENERCV GEN-36 bus-128      12963.0000      2610.8200  1.02500 1
GENERCV GEN-37 bus-130       5937.0000      1834.9600  1.05700 1
GENERCV GEN-38 bus-131      28300.0000      7473.0400  1.04200 1
GENERCV GEN-39 bus-132       3095.0000       633.4200  1.04200 1
GENERCV GEN-40 bus-134      20626.0000      7402.1400  1.04400 1
GENERCV GEN-41 bus-135       5982.0000      1564.8400  1.10700 1
GENERCV GEN-42 bus-136      51950.0000     14453.5000  1.08300 1
GENERCV GEN-43 bus-137      12068.0000      3450.7600  1.06400 1
GENERCV GEN-44 bus-139      56834.0000     15849.6500  1.04000 1
GENERCV GEN-45 bus-140      23123.0000      6710.4700  1.05000 1
GENERCV GEN-46 bus-141      37911.0000     11669.5200  1.05300 1
GENERCV GEN-47 bus-142      24449.0000      5496.1200  1.15500 1
GENERCV GEN-48 bus-143       5254.0000      2158.6300  1.03100 1
GENERCV GEN-49 bus-144      11397.0000      2686.8500  0.99700 1
GENER   GEN-50 bus-145 14118.62000 2987.15000  1 
THSLACK GEN-50 1.0520000    0.087615527  1
GENERDATA GEN-1 0. 0. 0. 0. 1. 99999. -99999.   53.40  -20.40 1.5 0 0 0. 99999 1 
GENERDATA GEN-2 0. 0. 0. 0. 1. 99999. -99999.  891.60 -594.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-3 0. 0. 0. 0. 1. 99999. -99999.  150.10 -100.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-4 0. 0. 0. 0. 1. 99999. -99999.   28.20  -18.80 1.5 0 0 0. 99999 1 
GENERDATA GEN-5 0. 0. 0. 0. 1. 99999. -99999.   42.00  -28.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-6 0. 0. 0. 0. 1. 99999. -99999.  403.80 -269.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-7 0. 0. 0. 0. 1. 99999. -99999.   13.20   -8.80 1.5 0 0 0. 99999 1 
GENERDATA GEN-8 0. 0. 0. 0. 1. 99999. -99999.   38.40  -25.60 1.5 0 0 0. 99999 1 
GENERDATA GEN-9 0. 0. 0. 0. 1. 99999. -99999.  766.00 -520.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-10 0. 0. 0. 0. 1. 99999. -99999.  288.00 -192.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-11 0. 0. 0. 0. 1. 99999. -99999.  108.60  -72.40 1.5 0 0 0. 99999 1 
GENERDATA GEN-12 0. 0. 0. 0. 1. 99999. -99999.   36.00  -24.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-13 0. 0. 0. 0. 1. 99999. -99999.   84.00  -56.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-14 0. 0. 0. 0. 1. 99999. -99999.  255.60 -170.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-15 0. 0. 0. 0. 1. 99999. -99999.  110.00 -110.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-16 0. 0. 0. 0. 1. 99999. -99999.  102.00  -68.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-17 0. 0. 0. 0. 1. 99999. -99999.  186.50 -124.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-18 0. 0. 0. 0. 1. 99999. -99999.  640.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-19 0. 0. 0. 0. 1. 99999. -99999.   81.00  -54.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-20 0. 0. 0. 0. 1. 99999. -99999.  500.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-21 0. 0. 0. 0. 1. 99999. -99999. 1008.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-22 0. 0. 0. 0. 1. 99999. -99999.  671.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-23 0. 0. 0. 0. 1. 99999. -99999.  480.00 -320.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-24 0. 0. 0. 0. 1. 99999. -99999.   31.20  -20.80 1.5 0 0 0. 99999 1 
GENERDATA GEN-25 0. 0. 0. 0. 1. 99999. -99999.  766.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-26 0. 0. 0. 0. 1. 99999. -99999. 1000.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-27 0. 0. 0. 0. 1. 99999. -99999.  160.00    0.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-28 0. 0. 0. 0. 1. 99999. -99999. 1496.00 -997.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-29 0. 0. 0. 0. 1. 99999. -99999. 1628.00 -1085.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-30 0. 0. 0. 0. 1. 99999. -99999. 1576.00 -1051.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-31 0. 0. 0. 0. 1. 99999. -99999. 2532.00 -1688.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-32 0. 0. 0. 0. 1. 99999. -99999. 5373.00 -3582.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-33 0. 0. 0. 0. 1. 99999. -99999. 1798.00 -1199.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-34 0. 0. 0. 0. 1. 99999. -99999.  605.40 -404.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-35 0. 0. 0. 0. 1. 99999. -99999. 1803.00 -1202.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-36 0. 0. 0. 0. 1. 99999. -99999. 7778.00 -5185.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-37 0. 0. 0. 0. 1. 99999. -99999. 3562.00 -2375.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-38 0. 0. 0. 0. 1. 99999. -99999. 16980.00 -9999.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-39 0. 0. 0. 0. 1. 99999. -99999. 1857.00 -1238.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-40 0. 0. 0. 0. 1. 99999. -99999. 12375.00 -8250.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-41 0. 0. 0. 0. 1. 99999. -99999. 3589.00 -2393.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-42 0. 0. 0. 0. 1. 99999. -99999. 31170.00 -9999.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-43 0. 0. 0. 0. 1. 99999. -99999. 7241.00 -4827.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-44 0. 0. 0. 0. 1. 99999. -99999. 34100.00 -9999.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-45 0. 0. 0. 0. 1. 99999. -99999. 13874.00 -9249.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-46 0. 0. 0. 0. 1. 99999. -99999. 22747.00 -9999.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-47 0. 0. 0. 0. 1. 99999. -99999. 14670.00 -9780.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-48 0. 0. 0. 0. 1. 99999. -99999. 3152.00 -2101.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-49 0. 0. 0. 0. 1. 99999. -99999. 6838.00 -4559.00 1.5 0 0 0. 99999 1 
GENERDATA GEN-50 0. 0. 0. 0. 1. 99999. -99999. 9999.00 -9999.00 1.5 0 0 0. 99999 1 
LINE   LN1     bus-2    bus-1        0.00003    0.00080   -0.03160    86.59 1
THLINE LN2     bus-2    bus-1        0.00003    0.00080   -0.03160
THTRFO TR3     bus-3    bus-1       -0.00900   -0.17180   93.50000
THTRFO TR4     bus-4    bus-1       -0.00900   -0.17180   93.50000
THTRFO TR5     bus-5    bus-1       -0.00890   -0.16970   93.50000
LINE   LN6     bus-6    bus-1        0.00194    0.02090   -1.18960    86.59 1
THTRFO TR7     bus-33   bus-1        0.00010    0.00600   93.50000
THTRFO TR8     bus-93   bus-1        0.00020    0.01380  110.36000
THTRFO TR9     bus-93   bus-1        0.00020    0.01380  110.36000
LINE   LN10    bus-6    bus-2        0.00194    0.02090   -1.18960    86.59 1
THTRFO TR11    bus-113  bus-2        0.00000    0.01480  110.52000
THTRFO TR12    bus-114  bus-2        0.00018    0.01450  110.52000
THLINE LN13    bus-33   bus-3        0.00020    0.02210    0.00000
THLINE LN14    bus-33   bus-4        0.00020    0.02210    0.00000
THLINE LN15    bus-33   bus-5        0.00020    0.02190    0.00000
LINE   LN16    bus-7    bus-6        0.00129    0.01390   -0.73260    86.59 1
LINE   LN17    bus-9    bus-6        0.00016    0.00170   -0.08760    86.59 1
LINE   LN18    bus-10   bus-6        0.00016    0.00170   -0.08760    86.59 1
LINE   LN19    bus-12   bus-6        0.00020    0.00210   -0.43880    86.59 1
LINE   LN20    bus-12   bus-6        0.00020    0.00210   -0.43880    86.59 1
THTRFO TR21    bus-8    bus-7       -0.01120   -0.15160   97.16000
THTRFO TR22    bus-66   bus-7        0.00015    0.00970   97.16000
THTRFO TR23    bus-104  bus-7        0.00036    0.01900  110.52000
THTRFO TR24    bus-104  bus-7        0.00041    0.01740  110.52000
THLINE LN25    bus-66   bus-8        0.00020    0.02990    0.00000
THLINE LN26    bus-66   bus-8        0.00020    0.02210    0.00000
THTRFO TR27    bus-11   bus-9       -0.02170   -0.30620   91.66000
THTRFO TR28    bus-69   bus-9        0.00040    0.01880   91.66000
THTRFO TR29    bus-32   bus-10      -0.02700   -0.30410   91.66000
THTRFO TR30    bus-69   bus-10       0.00040    0.01870   91.66000
THLINE LN31    bus-69   bus-11       0.00020    0.02620    0.00000
THTRFO TR32    bus-13   bus-12      -0.02230   -0.30990   91.66000
THTRFO TR33    bus-13   bus-12      -0.02370   -0.31600   91.66000
THTRFO TR34    bus-13   bus-12      -0.02370   -0.31600   91.66000
LINE   LN35    bus-14   bus-12       0.00096    0.00910   -0.42780    86.59 1
LINE   LN36    bus-14   bus-12       0.00096    0.00910   -0.42780    86.59 1
LINE   LN37    bus-25   bus-12       0.00051    0.00550   -0.31250    86.59 1
LINE   LN38    bus-25   bus-12       0.00051    0.00550   -0.31250    86.59 1
THTRFO TR39    bus-72   bus-12       0.00030    0.01890   91.66000
THTRFO TR40    bus-72   bus-12       0.00030    0.01900   91.66000
THTRFO TR41    bus-72   bus-12       0.00030    0.01900   91.66000
THLINE LN42    bus-72   bus-13       0.00020    0.02600    0.00000
THLINE LN43    bus-72   bus-13       0.00030    0.02620    0.00000
THLINE LN44    bus-72   bus-13       0.00020    0.02600    0.00000
THTRFO TR45    bus-15   bus-14      -0.04150   -0.39960   91.64000
THTRFO TR46    bus-16   bus-14      -0.01000   -0.16690   91.64000
LINE   LN47    bus-17   bus-14       0.00339    0.03670   -1.72910    86.59 1
LINE   LN48    bus-17   bus-14       0.00352    0.03670   -1.72580    86.59 1
THTRFO TR49    bus-58   bus-14       0.00020    0.00970   91.64000
THLINE LN50    bus-58   bus-15       0.00020    0.02550    0.00000
THLINE LN51    bus-58   bus-16       0.00020    0.02200    0.00000
THTRFO TR52    bus-18   bus-17      -0.31810   -1.31500   87.08000
THTRFO TR53    bus-19   bus-17       0.00000   -0.84700   86.34000
THTRFO TR54    bus-20   bus-17       0.00000   -0.86760   86.34000
THTRFO TR55    bus-21   bus-17      -0.00950   -0.16150   87.08000
LINE   LN56    bus-22   bus-17       0.00228    0.02760   -1.31020    86.59 1
THTRFO TR57    bus-59   bus-17       0.00010    0.00710   87.08000
THLINE LN58    bus-59   bus-18       0.00020    0.02980    0.00000
THLINE LN59    bus-59   bus-19       0.00000    0.06290    0.00000
THLINE LN60    bus-59   bus-20       0.00000    0.06380    0.00000
THLINE LN61    bus-59   bus-21       0.00020    0.03290    0.00000
THTRFO TR62    bus-23   bus-22       0.00000   -0.37870   93.22000
LINE   LN63    bus-24   bus-22       0.00173    0.02080   -0.98240    86.59 1
THTRFO TR64    bus-30   bus-22       0.00000   -0.30660   95.32000
THTRFO TR65    bus-78   bus-22       0.00000    0.02680   95.32000
THTRFO TR66    bus-83   bus-22       0.00000    0.03490   93.22000
THLINE LN67    bus-83   bus-23       0.00040    0.05950    0.00000
THLINE LN68    bus-83   bus-23       0.00030    0.05970    0.00000
THTRFO TR69    bus-76   bus-24       0.00020    0.00880   98.98000
THTRFO TR70    bus-77   bus-24      -0.00230   -0.06030   98.98000
THTRFO TR71    bus-26   bus-25      -0.00600   -0.13750   91.66000
LINE   LN72    bus-27   bus-25       0.00230    0.02660   -1.52540    86.59 1
LINE   LN73    bus-27   bus-25       0.00230    0.02660   -1.52540    86.59 1
THTRFO TR74    bus-31   bus-25      -0.00820   -0.16480   91.66000
THTRFO TR75    bus-73   bus-25       0.00030    0.01720   91.66000
THTRFO TR76    bus-74   bus-25       0.00040    0.01790   91.66000
THLINE LN77    bus-73   bus-26       0.00030    0.02670    0.00000
THTRFO TR78    bus-28   bus-27      -0.11530   -0.74530   90.74000
THTRFO TR79    bus-29   bus-27      -0.01630   -0.26180   90.74000
THTRFO TR80    bus-75   bus-27       0.00016    0.01000   90.74000
THLINE LN81    bus-75   bus-28       0.00020    0.02900    0.00000
THLINE LN82    bus-75   bus-29       0.00020    0.02690    0.00000
THLINE LN83    bus-78   bus-30       0.00000    0.03350    0.00000
THLINE LN84    bus-74   bus-31       0.00030    0.02790    0.00000
THLINE LN85    bus-69   bus-32       0.00020    0.02650    0.00000
LINE   LN86    bus-34   bus-33       0.00006    0.00090   -0.00030     7.88 1
LINE   LN87    bus-35   bus-33       0.00006    0.00090   -0.00030     4.90 1
THLINE LN88    bus-37   bus-33       0.00996    0.07070   -0.05580
LINE   LN89    bus-38   bus-33       0.00995    0.06930   -0.05550    11.55 1
LINE   LN90    bus-39   bus-33       0.00850    0.06990   -0.05030    12.08 1
LINE   LN91    bus-40   bus-33       0.00849    0.06980   -0.05020    12.08 1
LINE   LN92    bus-49   bus-33       0.00560    0.04930   -0.03890    10.78 1
LINE   LN93    bus-50   bus-33       0.00560    0.04930   -0.03890    10.78 1
THTRFO TR94    bus-110  bus-33       0.00024    0.01570  118.00000
THTRFO TR95    bus-110  bus-33       0.00023    0.01560  118.00000
LINE   LN96    bus-36   bus-34       0.00025    0.00220   -0.00030     7.88 1
THTRFO TR97    bus-99   bus-36       0.00080    0.04550  112.91000
THTRFO TR98    bus-87   bus-37       0.00093    0.04420  105.00000
THLINE LN99    bus-88   bus-37       0.00310    0.16510    0.00000
THLINE LN100   bus-88   bus-38       0.00310    0.16380    0.00000
LINE   LN101   bus-43   bus-39       0.00602    0.04950   -0.03560    12.08 1
THLINE LN102   bus-84   bus-39       0.00722    0.27860    0.00000
LINE   LN103   bus-44   bus-40       0.00603    0.04960   -0.03570    12.08 1
THLINE LN104   bus-84   bus-40       0.00729    0.27560    0.00000
THLINE LN105   bus-42   bus-41       0.00050    0.15140    0.00000
THLINE LN106   bus-43   bus-41       0.00001    0.00090   -0.00030
THLINE LN107   bus-44   bus-42       0.00001    0.00090   -0.00030
LINE   LN108   bus-46   bus-43       0.00618    0.05080   -0.03660    12.08 1
LINE   LN109   bus-45   bus-44       0.00618    0.05080   -0.03660    12.08 1
LINE   LN110   bus-61   bus-45       0.00445    0.03660   -0.02630    12.08 1
THLINE LN111   bus-85   bus-45       0.00000    0.26000    0.00000
LINE   LN112   bus-61   bus-46       0.00445    0.03660   -0.02630    12.08 1
THLINE LN113   bus-85   bus-46       0.00000    0.25920    0.00000
THLINE LN114   bus-48   bus-47      -0.01000    0.23060    0.00000
THLINE LN115   bus-50   bus-47       0.00001    0.00090   -0.00030
THLINE LN116   bus-87   bus-47       0.08310    0.40100    0.00000
THLINE LN117   bus-49   bus-48       0.00001    0.00090   -0.00030
THLINE LN118   bus-87   bus-48       0.09980    0.43600    0.00000
LINE   LN119   bus-51   bus-49       0.00898    0.07900   -0.06240    10.78 1
LINE   LN120   bus-51   bus-50       0.00898    0.07900   -0.06240    10.78 1
LINE   LN121   bus-52   bus-51       0.00290    0.02790   -0.02330     8.58 1
LINE   LN122   bus-53   bus-51       0.00290    0.02790   -0.02330     8.58 1
LINE   LN123   bus-56   bus-51       0.00759    0.04830   -0.03560    10.93 1
LINE   LN124   bus-57   bus-51       0.00759    0.04830   -0.03560    10.93 1
THLINE LN125   bus-53   bus-52      -0.00670    0.39110    0.00000
THLINE LN126   bus-54   bus-52       0.00470    0.02930   -0.02310
THLINE LN127   bus-55   bus-53       0.00470    0.02930   -0.02310
THLINE LN128   bus-55   bus-54      -0.05530    0.92890    0.00000
LINE   LN129   bus-61   bus-54       0.00141    0.00870   -0.00690     3.90 1
LINE   LN130   bus-61   bus-55       0.00141    0.00870   -0.00690     3.90 1
THLINE LN131   bus-57   bus-56      -0.00900    0.38950    0.00000
THLINE LN132   bus-58   bus-56       0.00190    0.01200   -0.00890
THLINE LN133   bus-58   bus-57       0.00190    0.01200   -0.00890
THLINE LN134   bus-59   bus-58       0.66740    2.21750    0.00000
THLINE LN135   bus-72   bus-58       0.03020    0.23640    0.00000
THLINE LN136   bus-87   bus-58       0.08630    0.39060    0.00000
THLINE LN137   bus-98   bus-58       0.01310    0.17650    0.00000
THLINE LN138   bus-100  bus-58       0.11930    1.26900    0.00000
